Name,City,Region,Property Type,Size(sqft),Bedrooms,Bathrooms,Price,Size_Category
"A Well Spacious Flat Of 3900 Sq Ft Is Offered For Rent Located At Block K, Baridhara",Baridhara,Dhaka,Apartment,3900,4,4,360000,3501-4000
"Checkout This 5000 Sq Ft Semi-furnished Apartment For Rent In Gulshan 2, Beside Justice Shabuddin Park",Gulshan,Dhaka,Apartment,5000,4,4,420000,
"3000 Sq Ft Spacious Apartment With Great Rooms For Rent In Baridhara, Block K",Baridhara,Dhaka,Apartment,3000,4,5,130000,2501-3000
"Get An Attractive Good Location Flat Of 1520 Sq Ft, In West Agargaon",Agargaon,Dhaka,Apartment,1520,3,3,26000,1501-2000
Rent This Amazing 1855 Sq Ft Apartment In Dhanmondi,Dhanmondi,Dhaka,Apartment,1855,3,3,45000,1501-2000
Find Your Desired Home At This 1500 Sq Ft Well Featured Flat For Rent At Eskaton,Eskaton,Dhaka,Apartment,1500,3,3,35000,1001-1500
Take A Look At This 1800 Sq Ft Flat For Rent In Uttara-6,Uttara,Dhaka,Apartment,1800,3,3,40000,1501-2000
"Start A New Home, In This 890 Sq Ft Flat For Rent In Baitul Aman Housing Society",Adabor,Dhaka,Apartment,890,2,2,16000,501-1000
1600 Square Feet Marvelous Apartment Is For Rent In New Eskaton Road,Eskaton,Dhaka,Apartment,1600,3,3,38000,1501-2000
This Flat In Agargaon With A Convenient Price Is Up For Rent,Agargaon,Dhaka,Apartment,1520,3,3,26000,1501-2000
"At Aftab Nagar, A 1650 Sq Ft Well Fitted Residential Property Is On Rent",Aftab Nagar,Dhaka,Apartment,1650,3,3,25000,1501-2000
"At West Shewrapara , A 1200 Sq Ft Well Fitted Residential Property Is On Rent .",Mirpur,Dhaka,Apartment,1200,3,3,23000,1001-1500
Don’t think too much just use your time effortlessly to take This 1500 Sq Ft Flat for Rent in West Shewrapara,Mirpur,Dhaka,Apartment,1500,3,3,23000,1001-1500
Elegant Flat For Rent In Uttara Nearby Southeast Bank Limited,Uttara,Dhaka,Apartment,2004,3,4,60000,2001-2500
Well Finished Apartment Is Waiting For You At Uttara Near Rajlaxmi Market,Uttara,Dhaka,Apartment,2000,3,3,65000,1501-2000
A Well Designed Apartment Is Waiting For Rent At Banani Nearby Banani Bidyaniketan School & College,Banani,Dhaka,Apartment,2960,4,4,135000,2501-3000
Take The Lucrative Deal Of Renting This 1450 Square Feet Full Furnished Apartment At Bashundhara R-a,Bashundhara R-A,Dhaka,Apartment,1450,3,3,70000,1001-1500
"Start A New Home, In This Semi-Furnished Flat For Rent In Khulshi",Khulshi,Chattogram,Apartment,2550,4,5,60000,2501-3000
"Deal With This 2000 Sq Ft Flat For Rent In Muradpur, Nasirabad Housing Society",Muradpur,Chattogram,Apartment,2000,3,3,40000,1501-2000
2000 Sq Ft Flat With Refreshing Balconies For Rent In Muradpur,Muradpur,Chattogram,Apartment,2000,3,3,40000,1501-2000
"Dwell In This 2000 Sq Ft Flat For Rent In Muradpur, Nasirabad Housing Society",Muradpur,Chattogram,Apartment,2000,3,3,40000,1501-2000
1050 Sq Ft Flat For Rent In 10 No. North Kattali Ward,10 No. North Kattali Ward,Chattogram,Apartment,1050,3,3,15000,1001-1500
1500 Sq Ft Flat Is Up For Rent In Jalalabad Housing Society,Jalalabad Housing Society,Chattogram,Apartment,1500,3,3,20000,1001-1500
Rent This 1150 Sq Ft Flat Of Nice Quality In Uttar Kattali,10 No. North Kattali Ward,Chattogram,Apartment,1150,3,3,15000,1001-1500
A Perfect Flat Of 850 Sq Ft Is Up For Rent In Uttar Kattali,10 No. North Kattali Ward,Chattogram,Apartment,850,2,2,12000,501-1000
We Are Offering To You This 1200 Sq Ft lovely Flat for Renting Purposes in Ahmed Nagar,Mirpur,Dhaka,Apartment,1200,3,3,18000,1001-1500
"Make A Deal With This Valuable Flat To Dwell, Situated At Bashundhara R-a",Bashundhara R-A,Dhaka,Apartment,1750,3,4,38000,1501-2000
"1500 Square Feet Flat For Rent Is Positioned In A Desirable Place Like Katashur, Mohammadpur",Mohammadpur,Dhaka,Apartment,1500,3,4,40000,1001-1500
2900 Sq Ft Flat Is Now Vacant For Rent In Bagmoniram Close To Hafiz Park,15 No. Bagmoniram Ward,Chattogram,Apartment,2900,4,4,45000,2501-3000
Grab This Well Maintained Classy 2 Bedroom Apartment In Kunjachaya R/a,Bayazid,Chattogram,Apartment,800,2,2,13000,501-1000
1650 Sq Ft Nice Apartment Is Ready To Rent At Adabor,Adabor,Dhaka,Apartment,1650,3,4,20000,1501-2000
"A Pleasant 1200 Square Feet Apartment Is For Rent In Mohammadpur, Chandrima Model Town",Mohammadpur,Dhaka,Apartment,1200,3,2,14000,1001-1500
1400 Sq Ft Suitable Flat For Rent In Jalalabad Housing Society,Jalalabad Housing Society,Chattogram,Apartment,1400,3,3,20000,1001-1500
We Are Offering You A 2000 Sq Ft Flat For Rent In Muradpur,Muradpur,Chattogram,Apartment,2000,3,3,40000,1501-2000
"2000 Sq Ft Flat With Great Home Facilities For Rent In Muradpur, Nasirabad Housing Society",Muradpur,Chattogram,Apartment,2000,3,3,40000,1501-2000
"View This 2000 Sq Ft Flat For Rent In Muradpur, Nasirabad Housing Society",Muradpur,Chattogram,Apartment,2000,3,3,40000,1501-2000
"2000 Sq Ft Modern Flat For Rent In Muradpur, Nasirabad Housing Society",Muradpur,Chattogram,Apartment,2000,3,3,40000,1501-2000
3050 Sq Ft Residential Apartment For Rent In Banani,Banani,Dhaka,Apartment,3050,4,4,200000,3001-3500
Properly Designed This 1300 Sq Ft Home Is Now Up For Rent In Jamtola,Rampura,Dhaka,Apartment,1300,3,3,22000,1001-1500
"Smartly Priced 2000 Sq Ft Furnished Apartment, That You Should Check In Uttara",Uttara,Dhaka,Apartment,2000,3,3,60000,1501-2000
Relax In This 850 Sq Ft Flat For Rent In 10 No. North Kattali Ward,10 No. North Kattali Ward,Chattogram,Apartment,850,2,2,12000,501-1000
Visit This 850 Sq Ft Flat For Rent In 10 No. North Kattali Ward,10 No. North Kattali Ward,Chattogram,Apartment,850,2,2,12000,501-1000
1735 Sq Ft Quality Flat Is Ready For Rent In Dhanmondi,Dhanmondi,Dhaka,Apartment,1735,3,4,65000,1501-2000
Take A Look At This 1050 Sq Ft Flat For Rent In 10 No. North Kattali Ward,10 No. North Kattali Ward,Chattogram,Apartment,1050,3,3,15000,1001-1500
A 850 Sq Ft Flat Is Ready For Rent In 10 No. North Kattali Ward,10 No. North Kattali Ward,Chattogram,Apartment,850,2,2,12000,501-1000
Take A Look At This 1450 Sq Ft Flat For Rent In Jalalabad Housing Society,Jalalabad Housing Society,Chattogram,Apartment,1450,3,3,20000,1001-1500
Well-constructed 1250 Sq Ft Home Is Now Offering To You In Shukrabad For Rent,Dhanmondi,Dhaka,Apartment,1250,3,2,30000,1001-1500
Offering You 1250 Sq Ft Well-constructed Flat To Rent In Shukrabad,Dhanmondi,Dhaka,Apartment,1250,3,2,30000,1001-1500
A Well-constructed Beautiful 1250 Sq Ft Apartment Is Ready To Rent In 9 No. North Pahartali Ward,9 No. North Pahartali Ward,Chattogram,Apartment,1250,3,3,20000,1001-1500
This 3100 Sq Ft Apartment Is Set For Rent At North Khulshi,Khulshi,Chattogram,Apartment,3100,4,4,75000,3001-3500
"Now You Can Afford To Dwell Well, Check This 1500 Sq Ft Flat In Jalalabad Housing Society",Jalalabad Housing Society,Chattogram,Apartment,1500,3,3,20000,1001-1500
850 Sq Ft Lovely Flat For Rent In Uttar Kattali,10 No. North Kattali Ward,Chattogram,Apartment,850,2,2,12000,501-1000
"1150 Sq Ft Vacant Flat For Rent In Uttar Kattali, Colonel Jones Road",10 No. North Kattali Ward,Chattogram,Apartment,1150,3,3,15000,1001-1500
Get This 850 Sq Ft Flat For Rent In Uttar Kattali,10 No. North Kattali Ward,Chattogram,Apartment,850,2,2,12000,501-1000
We Are Offering You This 1600 Sq Ft Apartment For Rent At South Khulsi,Khulshi,Chattogram,Apartment,1600,3,3,31000,1501-2000
4500 Sq Ft Flat With Standard Fittings Are Up For Rent In Gulshan 2,Gulshan,Dhaka,Apartment,4500,4,5,204999,
Offering You 1600 Sq Ft Apartment To Rent In Shyamoli,Shyamoli,Dhaka,Apartment,1600,3,4,25000,1501-2000
1600 Sq Ft Flat With A Nice Environment Is Up For Rent In 15 No. Bagmoniram Ward,15 No. Bagmoniram Ward,Chattogram,Apartment,1600,3,3,26000,1501-2000
Modern home for residents | 900 SQ FT Flat in Double Mooring for rent,Double Mooring,Chattogram,Apartment,900,2,2,15000,501-1000
"A 700 Sq Ft Flat For Rent With Convenient Bedrooms That Is Available In Goaltek Prodhan Sharok, Dakshin Khan.",Dakshin Khan,Dhaka,Apartment,700,2,2,10500,501-1000
A Ready 900 Sq. ft Apartment For Rent In Double Mooring,Double Mooring,Chattogram,Apartment,900,2,2,14000,501-1000
"View This 1430 Sq Ft Flat For Rent In Middle Paikpara, Mirpur",Mirpur,Dhaka,Apartment,1430,3,3,20000,1001-1500
Consider Renting This 1190 Sq Ft With 2 Bedrooms Home In Rampura Close To Makki Masjid,Rampura,Dhaka,Apartment,1190,2,2,40000,1001-1500
Don’t Waste Your Valuable Time! You Can Take This 1400 Sq Ft Apartment For Rent In Adabor,Adabor,Dhaka,Apartment,1400,3,3,22000,1001-1500
1300 Square Feet Apartment For Rent In Adabor,Adabor,Dhaka,Apartment,1300,3,3,25000,1001-1500
To Get A Hassle Free Life You Can Take Rent This 1000 Sq Ft Flat In Double Mooring,Double Mooring,Chattogram,Apartment,1000,2,2,14000,501-1000
"This Comfortable And Beautiful Apartment Of 2000 Sq Ft In VIP Housing Society, South Khulshi Is Up For Rent",Khulshi,Chattogram,Apartment,2000,3,3,35000,1501-2000
"Get Ready To Rent This Ideally Maintained 2000 Sq Ft Apartment Located In VIP Housing Society, South Khulshi",Khulshi,Chattogram,Apartment,2000,3,3,35000,1501-2000
New With A View – 2000 Sq Ft Apartment For Rent In South Khulshi,Khulshi,Chattogram,Apartment,2000,3,3,35000,1501-2000
"A 2000 Square Feet Beautiful Apartment Is Ready For Rent At Vip Housing Society, South Khulshi",Khulshi,Chattogram,Apartment,2000,3,3,35000,1501-2000
"In An Urban Location And Reasonable Price, This 3 Bedroom Flat Is Available For Rent In South Khulshi-VIP Housing Society.",Khulshi,Chattogram,Apartment,2000,3,3,35000,1501-2000
"At Shantibag Residential Area, 1100 Sq Ft Flat Is Up For Rent",Double Mooring,Chattogram,Apartment,1100,2,2,12000,1001-1500
"1100 Sq Ft Flat For Rent At Shantibag Residential Area, Double Mooring",Double Mooring,Chattogram,Apartment,1100,3,3,14000,1001-1500
A Nicely Constructed Apartment Of 1300 Sq Ft Can Be Found In Uttara For Rent,Uttara,Dhaka,Apartment,1300,3,4,23000,1001-1500
Carry On With Your Great Life In This Flat Of 1325 Sq Ft Or Rent In Uttara-1,Uttara,Dhaka,Apartment,1325,3,3,32000,1001-1500
"Spot Your Place In A 1200 Sq Ft Structurally Well Built Apartment For Rent In Bashundhara R-A, Block M",Bashundhara R-A,Dhaka,Apartment,1200,3,3,17000,1001-1500
Reside Conveniently In This Well-constructed 1300 Sq Ft Flat For Rent In Bayazid,Bayazid,Chattogram,Apartment,1300,3,3,17000,1001-1500
750 Square Feet Apartment For Rent In A Peaceful Placement Of Mohammadpur,Mohammadpur,Dhaka,Apartment,750,2,2,14000,501-1000
Take Rent This 800 Sq Ft Nice Flat For Living A Pleasant Life In 33 No. Firingee Bazaar Ward,33 No. Firingee Bazaar Ward,Chattogram,Apartment,800,2,1,17000,501-1000
Find Your Desired Apartment At This Ready 2260 Sq Ft Flat For Rent At Banani Close To T And T Boys' High School,Banani,Dhaka,Apartment,2260,3,4,90000,2001-2500
"Bringing you a 1150 SQ FT apartment for rent, in Dakkhin Paikpara",Mirpur,Dhaka,Apartment,1150,3,2,15000,1001-1500
Tastefully Designed This 900 Sq Ft Flat Is Now Vacant For Rent In 33 No. Firingee Bazaar Ward,33 No. Firingee Bazaar Ward,Chattogram,Apartment,900,2,1,17000,501-1000
Looking For A Nice Apartment To Rent In Lalmatia! Check This One Which Is 2000 Sq Ft,Lalmatia,Dhaka,Apartment,2000,3,3,65000,1501-2000
A well-constructed 1850 SQ FT apartment is ready to Rent in Bashundhara R-A,Bashundhara R-A,Dhaka,Apartment,1850,3,4,35000,1501-2000
1921 SQ FT road sided apartment for rent in Baridhara,Baridhara,Dhaka,Apartment,1921,3,3,140000,1501-2000
2 Bedroom House Is Now Up For Rent In Green View Residential Area Which is An Eco Friendly Location,11 No. South Kattali Ward,Chattogram,Apartment,1000,2,2,11000,501-1000
An Apartment Is Ready For Rent At Zakir Hossain Housing Society Near South Khulshi Jame Mosque,Khulshi,Chattogram,Apartment,1750,3,3,25000,1501-2000
800 Sq Ft Flat Is Now Available To Rent In Bashundhara R-a,Bashundhara R-A,Dhaka,Apartment,800,2,2,20000,501-1000
Obtain Your New Residence At This 1000 Sq Ft Flat Is Up For Rent At North Shahjahanpur,Shahjahanpur,Dhaka,Apartment,1000,3,3,22000,501-1000
For Rental Purpose 2400 Square Feet Flat Is Available In Banani Near To Banani Bazar,Banani,Dhaka,Apartment,2400,4,4,200000,2001-2500
"Choose your destination, 1500 SQ FT flat which is available to Rent in Panchlaish near to Panchlaish Thana",Panchlaish,Chattogram,Apartment,1500,2,3,25000,1001-1500
An Apartment For Rent In Malibagh Shantibag,Malibagh,Dhaka,Apartment,2500,3,3,45000,2001-2500
An Apartment for rent is all set for you to settle in Turag close to Sheikh Munshibari Baitun Nur Jame Mosque,Turag,Dhaka,Apartment,700,2,1,10500,501-1000
"Nice Flat Can Be Found In Uttara For Rent, Near Uttara United College",Uttara,Dhaka,Apartment,1350,3,3,35000,1001-1500
A Nice And Comfortable Flat Is Up For Rent In Banani Nearby Southeast University,Banani,Dhaka,Apartment,2000,3,4,120000,1501-2000
3200 Sq Ft Ready Apartment For Rent In Gulshan 2,Gulshan,Dhaka,Apartment,3200,3,3,180000,3001-3500
Get Comfortable In A 2700 Sq Ft Flat For Rent In Uttara Nearby Bangladesh Club Limited.,Uttara,Dhaka,Apartment,2700,4,4,50000,2501-3000
2600 SQ FT flat is now Vacant for rent in Uttara close to Agora,Uttara,Dhaka,Apartment,2600,3,4,70000,2501-3000
"In The Peaceful Neighborhood Of South Khulsi, A Ready Vacant Flat Of 2250 Sq Ft Is Up For Rent Close To Holy Crescent Hospital",Khulshi,Chattogram,Apartment,2250,3,4,50000,2001-2500
We Are Offering A Reasonably Priced Flat For Rent Which Is Featuring 1250 Sq Ft Space In Baitul Aman Housing Society,Adabor,Dhaka,Apartment,1250,3,3,22000,1001-1500
An Apartment Of 4500 Sq Ft Is Up For Rent At Baridhara,Baridhara,Dhaka,Apartment,4500,3,4,450000,
"In Baridhara, We Have This Spacious Residential Apartment For Rent",Baridhara,Dhaka,Apartment,4500,3,4,450000,
An Amazingly Large Apartment Can Be Found In Gulshan-1 For Rent,Gulshan,Dhaka,Apartment,4200,4,5,250000,
"Graceful Flat Of 750 Sq Ft Is Prepared For Rent In Aziz Moholla, Mohammadpur",Mohammadpur,Dhaka,Apartment,750,2,2,16000,501-1000
920 Sq Ft Two-Bed Apartment Is Up For Rent In Mohammadpur Nearby PC Culture Housing Jame Mosjid,Mohammadpur,Dhaka,Apartment,920,2,2,16500,501-1000
"Available in Banasree, is a 1150 SQ FT apartment for rent, near Banasree Ideal School and College",Banasree,Dhaka,Apartment,1150,3,3,22500,1001-1500
In The Fine Location Of Halishahar A 1600 Sq Ft Apartment Is All Set For Rent Near To Artillery Center And School,Halishahar,Chattogram,Apartment,1600,3,3,19050,1501-2000
"A Very Spacious 3900 Sq Ft Apartment Is Ready For Rent In Block K, Baridhara",Baridhara,Dhaka,Apartment,3900,4,4,360000,3501-4000
1855 Sq Ft Apartment Is Ready For Rent In West Dhanmondi,Dhanmondi,Dhaka,Apartment,1855,3,4,45000,1501-2000
Visit This 1300 Sq Ft Residence Is Vacant For Rent In West Dhanmondi,Dhanmondi,Dhaka,Apartment,1300,3,3,35000,1001-1500
1250 Square Feet Ready Apartment For Rent,Mirpur,Dhaka,Apartment,1250,3,3,21000,1001-1500
1500 Sq Ft Flat With 3 Bedrooms For Rent In Mohammadpur,Mohammadpur,Dhaka,Apartment,1500,3,4,26000,1001-1500
"1150 Sq Ft Apartment With 3 Bedrooms Is Ready For Rent In Mirpur, Kallyanpur",Mirpur,Dhaka,Apartment,1150,3,3,15000,1001-1500
Reside Conveniently In This Comfortable 3000 Sq. ft Flat For Rent At Baridhara - Block K.,Baridhara,Dhaka,Apartment,3000,4,4,190000,2501-3000
"Live In A 1500 Sq Ft Rental Residential Apartment In Adabor, Road No 16",Adabor,Dhaka,Apartment,1500,3,3,22000,1001-1500
A 3000 Sq Ft Furnished Residential Apartment Is Unoccupied For Rent By Owner Convenient In Gulshan-2,Gulshan,Dhaka,Apartment,3000,3,3,160000,2501-3000
"Grab This 1600 Sq Ft Beautiful Flat Is Vacant For Rent In Shekhertek, Mohammadpur",Mohammadpur,Dhaka,Apartment,1600,4,3,25000,1501-2000
We Are Offering You A Very Spacious 3000 Sq Ft Full Furnished Flat For Rent In Gulshan 1,Gulshan,Dhaka,Apartment,3000,3,3,200000,2501-3000
"1250 Sq Ft Convenient Apartment Is For Rent In Mirpur, 3rd Colony",Mirpur,Dhaka,Apartment,1250,3,4,20000,1001-1500
Ready for move in check this 3000 Sq. Ft. home for rent which is in Baridhara DOHS,Baridhara DOHS,Dhaka,Apartment,3000,4,4,130000,2501-3000
An appropriate 1150 SQ FT apartment is arranged to be rented at 9 No. North Pahartali Ward,9 No. North Pahartali Ward,Chattogram,Apartment,1150,3,3,16000,1001-1500
"At Malibagh, flat for Rent close to Malibagh Super Market",Malibagh,Dhaka,Apartment,750,2,2,15000,501-1000
"3500 Sq Ft Residential Duplex For Rent In Banasree, Block D",Banasree,Dhaka,Residence,3500,4,6,50000,3001-3500
"This 2100 Sq Ft Apartment For Rent At Khulshi, Habib Lane",Khulshi,Chattogram,Apartment,2100,3,3,30000,2001-2500
Completely suitable and ready flat of 1200 SQ FT for rent in Bashundhara R-A,Bashundhara R-A,Dhaka,Apartment,1200,3,3,17000,1001-1500
2500 Sq. Ft. Flat Is Now Up To Rent Located Near To Ideal College In Dhanmondi,Dhanmondi,Dhaka,Apartment,2500,4,3,85000,2001-2500
"View This 2060 Square Feet Residential Flat For Rent In Baridhara, Block J",Baridhara,Dhaka,Apartment,2060,4,4,50000,2001-2500
"1100 Square Feet Flat Is Ready For Rent In Mirpur, Ahmed Nagar",Mirpur,Dhaka,Apartment,1100,3,3,15000,1001-1500
"This Comfortable Apartment Of 1250 Sq Ft, In Dhaka Uddan Is For Rent",Mohammadpur,Dhaka,Apartment,1250,3,3,18000,1001-1500
Decent-sized Apartment Of 850 Sq Ft Is Ready To Rent In South Monipur,Mirpur,Dhaka,Apartment,850,2,2,12000,501-1000
"Grab This 1700 Sq Ft Beautiful Flat Is Vacant For Rent In Block C, Banasree",Banasree,Dhaka,Apartment,1700,3,4,35000,1501-2000
"1380 Sq Ft Apartment With 3 Bedrooms Is Ready For Rent In Mirpur, Ahmed Nagar",Mirpur,Dhaka,Apartment,1380,3,3,19000,1001-1500
3200 Sq Ft Spacious Apartment Is For Rent In Uttara-4,Uttara,Dhaka,Apartment,3200,6,6,220000,3001-3500
Start Living In This Gorgeous Full Furnished Flat Of 3000 Sq Ft Located At Gulshan 1 Unoccupied For Rent,Gulshan,Dhaka,Apartment,3000,3,3,200000,2501-3000
We Are Offering A Reasonably Priced Flat For Rent Which Is Featuring 1650 Sq Ft Space In South Khulshi,Khulshi,Chattogram,Apartment,1650,3,3,35000,1501-2000
Be The Resident Of A 1100 Sq Ft Residential Flat Waiting To Get Rented At Oxygen,Bayazid,Chattogram,Apartment,1100,3,2,14000,1001-1500
"Have A Look At This 1400 Sq Ft Property Which Is Up For Rent Located At Section 6, Mirpur",Mirpur,Dhaka,Apartment,1400,3,3,30000,1001-1500
"Excellent Full Furnished Flat Of 2700 Sq Ft Is All Set For Rent In The Fine Location Of Block K, Baridhara",Baridhara,Dhaka,Apartment,2700,3,3,160000,2501-3000
"Lovely Apartment Of 1400 Sq Ft Is Up For Rent In Baitul Aman Housing Society, Adabor",Adabor,Dhaka,Apartment,1400,3,3,25000,1001-1500
"Reside In This 1400 Sq Ft Flat Up For Rent In Dhanmondi, North Circular Road",Dhanmondi,Dhaka,Apartment,1400,3,3,30000,1001-1500
"Near NSU, Residential Apartment For Rent in Bashundhara R-A",Bashundhara R-A,Dhaka,Apartment,1450,3,3,25000,1001-1500
2600 Sq Ft Luxurious Apartment Is Up For Rent In The Great Location Of South Khulsi Near To Radiant School And College,Khulshi,Chattogram,Apartment,2600,4,3,75000,2501-3000
"Here Is A Well Defined Flat Of 1800 Sq Ft Waiting For Rent At Sector 14, Uttara",Uttara,Dhaka,Apartment,1800,3,3,70000,1501-2000
Properly designed this 1800 SQ Ft flat is now up for rent in Mohammadpur,Mohammadpur,Dhaka,Apartment,1800,3,3,30000,1501-2000
"New Home In A Nice Luxurious Apartment Ready To Rent, Near Khulshi Jame Masjid",Khulshi,Chattogram,Apartment,6000,4,4,150000,
Appealing Property In Shiddheswari – 1545 Sq Ft Flat For Rent,Shiddheswari,Dhaka,Apartment,1545,3,3,35000,1501-2000
"1200 Sq Ft Apartment With A Balcony Is For Rent In Mirpur, Section 1",Mirpur,Dhaka,Apartment,1200,3,3,18000,1001-1500
2000 Sq Ft Flat Is Currently Ready To Rent In Bashundhara R-a,Bashundhara R-A,Dhaka,Apartment,2000,3,3,45000,1501-2000
To Get A Hassle Free Life You Can Take Rent This 2400 Sq Ft Flat In Bashundhara R-a,Bashundhara R-A,Dhaka,Apartment,2400,4,4,50000,2001-2500
"A nice residential flat of 1500 SQ FT, for rent, can be found in Lal Khan Bazaar",Lal Khan Bazaar,Chattogram,Apartment,1500,3,2,19000,1001-1500
"All Set For Rental Purpose This 1200 Sq Ft Flat In A Peaceful Location Of Kaderabad Housing Society, Mohammadpur",Mohammadpur,Dhaka,Apartment,1200,3,3,22000,1001-1500
Apartment for Rent in Dhanmondi nearby Ideal College,Dhanmondi,Dhaka,Apartment,1050,2,2,28000,1001-1500
At Baridhara 2000 Square feet flat for Rent close to Jame Masjid,Baridhara,Dhaka,Apartment,2000,3,4,45000,1501-2000
"Look At This Nice 1550 Sq Ft Flat Is Up For Rent At Janata Housing Society, Adabor",Adabor,Dhaka,Apartment,1550,3,3,30000,1501-2000
"1300 Square Feet Apartment Is Ready For Rent In Mirpur, Ahmed Nagar",Mirpur,Dhaka,Apartment,1300,3,3,19000,1001-1500
"This Beautiful Flat Of 1750 Sq Ft Is Greatly Affordable And Will Come Within Your Budget In North Dhanmondi Road, Kalabagan",Kalabagan,Dhaka,Apartment,1750,3,3,40000,1501-2000
"We Are Offering You A Spacious 3900 Sq Ft Flat For Rent In Block K, Baridhara",Baridhara,Dhaka,Apartment,3900,4,4,500000,3501-4000
2100 SQ FT Apartment for Rent in Bashundhara R-A nearby NSU,Bashundhara R-A,Dhaka,Apartment,2100,3,3,40000,2001-2500
A Budget Friendly Lovely Residence Is Now Up For Rent In North Pirerbag Which Is 1300 Sq Ft,Mirpur,Dhaka,Apartment,1300,3,3,25000,1001-1500
Take A Thorough Look At This 3700 Sq Ft Apartment For Rent In Gulshan 1,Gulshan,Dhaka,Apartment,3700,3,3,280000,3501-4000
"Get This Well Defined 1300 Sq Ft Flat For Rent In Baitul Aman Housing Society, Adabor",Adabor,Dhaka,Apartment,1300,3,3,28000,1001-1500
1850 Sq Ft Nice Apartment Is Ready To Rent At Dhanmondi,Dhanmondi,Dhaka,Apartment,1850,3,3,85000,1501-2000
A Beautiful 1520 Sq Ft Nice Home Is Ready To Rent At West Agargaon,Agargaon,Dhaka,Apartment,1520,3,3,26000,1501-2000
Use Your Time Perfectly To Take This 1800 Sq Ft Apartment For Rent In Chandrima Model Town,Mohammadpur,Dhaka,Apartment,1800,3,4,18000,1501-2000
"We Have A 1200 Sq. ft Flat For You In Bashundhara R-A , Block M.",Bashundhara R-A,Dhaka,Apartment,1200,3,3,17000,1001-1500
"Affordable And Wonderful Residential Apartment Up For Rent In Mirpur, Kallyanpur.",Mirpur,Dhaka,Apartment,1350,3,3,19000,1001-1500
An Apartment For Rent Is All Set For You To Settle In Muradpur Close To Nasirabad Society Mosque.,Muradpur,Chattogram,Apartment,1600,3,3,80000,1501-2000
"Picture yourself in this residential apartment of 3000 SQ FT for rent in Uttara, Sector 1",Uttara,Dhaka,Apartment,3000,4,5,100000,2501-3000
Take This 1150 Sq Ft Residential Flat Is Vacant For Rent At West Dhanmondi Area,Dhanmondi,Dhaka,Apartment,1150,3,3,22000,1001-1500
A Nicely Planned Flat Is Up For Rent In Khulshi Nearby South Khulshi Police Station,Khulshi,Chattogram,Apartment,1700,3,4,25000,1501-2000
Excellent Flat Of 1355 Sq Ft Is All Set For Rent In The Fine Location Of Khulshi Near South Kulshi Masjid,Khulshi,Chattogram,Apartment,1355,3,4,25000,1001-1500
Ready Flat 1200 Sq Ft Is Now For Rent In Dhanmondi Nearby Dhanmondi Party Center,Dhanmondi,Dhaka,Apartment,1200,3,3,32000,1001-1500
"Visit This Full Furnished 1350 Square Feet Flat In Bashundhara R-A, Block D Up For Rent",Bashundhara R-A,Dhaka,Apartment,1350,3,3,80000,1001-1500
"To Live A Secure Life You Can Take This 1350 Sq Ft Flat For Rent At Lake Circus Road, Kalabagan",Kalabagan,Dhaka,Apartment,1350,3,3,34000,1001-1500
"1738 Square Feet Residential Flat For Rent In Uttar Badda, Gupipara Road",Badda,Dhaka,Apartment,1738,3,3,35000,1501-2000
"Lovely Apartment Of 3200 Sq Ft Is Up For Rent In Block L, Bashundhara R/A",Bashundhara R-A,Dhaka,Apartment,3200,4,4,50000,3001-3500
Property For Rent In Chandrima Model Town– 1650 Sq Ft Apartment,Mohammadpur,Dhaka,Apartment,1650,3,3,16500,1501-2000
"Take This Nice 1650 Sq Ft Apartment In Chandrima Model Town, To Fulfill Your Wish",Mohammadpur,Dhaka,Apartment,1650,3,3,16500,1501-2000
Uncover Your Place In A 1206 Sq Ft Structurally Well Built House For Rent In Paikpara,Mirpur,Dhaka,Apartment,1206,3,3,18000,1001-1500
View This 5400 Sq Ft Residential Building For Rent With A Calm Environment In Gulshan 2,Gulshan,Dhaka,Residence,5400,7,8,650000,
An Apartments Of 4000 Sq Ft Is Available For Rent In The Most Prime Location Of Banani,Banani,Dhaka,Apartment,4000,4,4,320000,3501-4000
Find 1200 Sq Ft Flat Available To Rent In Banasree Near To Banasree Bazar,Banasree,Dhaka,Apartment,1200,3,4,24000,1001-1500
Apartment For Rent In Khulshi Near Khulshi Jame Masjid,Khulshi,Chattogram,Apartment,2000,4,3,45000,1501-2000
Rent This Duplex Flat At Bashundhara Neighboring Markazul Fiqril Islami Bangladesh,Bashundhara R-A,Dhaka,Residence,6000,5,5,170000,
"Great News! In The Suitable Location Of Chandrima Model Town, An Eye-catching House Of 1650 Sq Ft Is Up For Rent",Mohammadpur,Dhaka,Apartment,1650,3,4,16500,1501-2000
"1050 Sq Ft Apartment Is Up For Rent In West Dhanmondi And Shangkar, Near Popular Pharmacy",Dhanmondi,Dhaka,Apartment,1050,3,2,20000,1001-1500
Near Paramona Masjid A Gorgeous House Is Up For Rent In Baridhara,Baridhara,Dhaka,Apartment,3000,4,4,120000,2501-3000
"Great Location! Check Out This 1150 Sq Ft Flat For Rent In Sector 4, Uttara",Uttara,Dhaka,Apartment,1150,2,2,33000,1001-1500
"Get This Well Defined 1600 Sq Ft Flat For Rent In Sector 11, Uttara",Uttara,Dhaka,Apartment,1600,3,3,45000,1501-2000
